eps,eTiOT,eTAOT(w = w*),eTAOT(w = 0.14),eTAOT(w = 0.7),eTAOT(w = 3.5)
0.01,0.2682926829268293,0.2634146341463415,0.2439024390243902,0.2878048780487805,0.3073170731707317
0.02,0.2634146341463415,0.2682926829268293,0.2390243902439024,0.3024390243902439,0.2975609756097561
0.03,0.2829268292682927,0.2878048780487805,0.2536585365853658,0.2634146341463415,0.2878048780487805
0.04,0.2634146341463415,0.2682926829268293,0.2731707317073171,0.2536585365853658,0.2731707317073171
0.05,0.2585365853658536,0.2536585365853658,0.2585365853658536,0.248780487804878,0.3024390243902439
0.06,0.248780487804878,0.2439024390243902,0.2878048780487805,0.2780487804878049,0.3414634146341463
0.07,0.2585365853658536,0.248780487804878,0.3024390243902439,0.2975609756097561,0.3853658536585366
0.08,0.2682926829268293,0.248780487804878,0.2926829268292683,0.3170731707317072,0.4292682926829269
0.09,0.2829268292682927,0.2829268292682927,0.3170731707317072,0.4,0.4536585365853658
0.1,0.3024390243902439,0.2829268292682927,0.3219512195121951,0.4146341463414634,0.4682926829268292
