eps,eTiOT,eTAOT(w = w*),eTAOT(w = 0.2),eTAOT(w = 1),eTAOT(w = 5)
0.01,0.2661870503597122,0.2805755395683453,0.2805755395683453,0.3381294964028777,0.3237410071942446
0.02,0.2805755395683453,0.2877697841726618,0.3165467625899281,0.3237410071942446,0.3525179856115108
0.03,0.3165467625899281,0.3165467625899281,0.3309352517985612,0.3381294964028777,0.3453237410071942
0.04,0.3309352517985612,0.3165467625899281,0.3525179856115108,0.3525179856115108,0.3597122302158273
0.05,0.3381294964028777,0.3453237410071942,0.3597122302158273,0.3381294964028777,0.3884892086330935
0.06,0.3309352517985612,0.3597122302158273,0.3525179856115108,0.3453237410071942,0.3525179856115108
0.07,0.3165467625899281,0.3453237410071942,0.3669064748201439,0.3309352517985612,0.3741007194244604
0.08,0.3237410071942446,0.3669064748201439,0.3525179856115108,0.3309352517985612,0.3884892086330935
0.09,0.3381294964028777,0.3597122302158273,0.3525179856115108,0.3381294964028777,0.4100719424460431
0.1,0.3453237410071942,0.3453237410071942,0.3525179856115108,0.3812949640287769,0.4316546762589928
