eps,eTAOT
0.005,0.10317460317460314
0.01,0.10317460317460314
0.015,0.10317460317460314
0.02,0.10317460317460314
0.025,0.10317460317460314
0.03,0.10317460317460314
0.035,0.10317460317460314
0.04,0.10317460317460314
0.045,0.10317460317460314
0.05,0.10317460317460314
0.055,0.10317460317460314
0.06,0.10317460317460314
0.065,0.10317460317460314
0.07,0.10317460317460314
0.075,0.10317460317460314
0.08,0.10317460317460314
0.085,0.10317460317460314
0.09,0.10317460317460314
0.095,0.10317460317460314
0.1,0.10317460317460314
Final error,0.23460898502495842
