len,TiOT,eTiOT,fast_eTiOT,TAOT,eTAOT
100,0.16768400000000128,0.354973600000001,0.10352790000000311,0.030568899999998678,0.08999130000000122
200,1.3969048000000015,1.1071721000000068,0.34414259999999786,0.12047799999999853,0.2250252000000046
300,5.575576500000004,1.8511398999999997,0.5467853999999974,0.2771095000000017,0.31965249999999656
400,18.415899700000004,7.7900048000000055,3.1181951000000083,1.1234409999999997,0.9795385999999979
500,48.96772960000001,11.393100500000003,7.006826700000005,1.523752399999978,1.3393370999999945
600,88.9487642,10.102032900000012,7.677935299999973,1.293392400000016,1.2620397999999682
700,152.20288449999998,23.40996739999997,9.853634999999997,1.7811725000000251,1.7710591999999679
900,,33.59929579999999,7.811685199999999,,2.9436144000000013
1100,,43.33471480000003,6.1973464999999806,,4.3000699000000395
1300,,85.93958850000001,10.87009779999994,,7.070746600000007
1500,,211.19864210000003,23.795611500000064,,10.683216600000037
