len,TiOT,eTiOT,fast_eTiOT,eTAOT
100,0.17133406666666615,0.2417233999999997,0.10466356666666717,0.07795136666666676
200,1.5804548666666662,1.2158786999999986,0.5794918333333321,0.23723486666666696
300,5.7196678,2.720135466666669,1.0168446666666664,0.434675266666666
400,15.118037200000002,8.699477399999997,2.618690666666666,0.7400073666666648
600,65.52383383333333,15.301642699999983,5.350974800000017,1.4870604333333404
800,345.1403614,36.02660526666667,12.886657100000017,3.538035266666687
1000,,74.82601606666663,19.549609166666716,5.720140533333279
1300,,124.00070953333345,34.21925063333325,10.9051143
1600,,189.41422040000012,40.90573899999996,16.171471566666543
2000,,168.95754199999996,71.17507610000014,24.087620833333403
